,Unnamed: 0,Unnamed: 0.1,user_id,app_code,os_version,is_4G,is_click,log_time,item_id,item_price,category_1,category_2,category_3,product_type,ad_freq
45,6302,6302,33,296,intermediate,0,1,0.0,86398,768,7,33,11,7312,0.0
49,6817,6817,36,469,latest,0,1,98820.0,103682,313,13,58,75,3248,49410.5
63,10157,10157,44,438,intermediate,0,1,0.0,85108,19712,1,42,157,10099,0.0
66,10587,10587,46,231,latest,1,1,301080.0,44686,182144,1,42,211,9939,0.0
75,14288,14288,48,3,latest,0,1,102840.0,110079,691,15,0,214,968,53777.285714285725
105,16166,16166,60,207,latest,1,1,0.0,10560,1920,16,68,326,60,0.0
114,19651,19651,66,207,latest,0,1,1788180.0,99721,4037,17,39,252,5749,0.0
213,28441,28441,98,3,old,0,1,422640.0,101553,1856,4,38,62,4933,195855.25
283,37065,37065,135,371,intermediate,0,1,703500.0,42664,2099,9,44,114,2106,455370.16666666674
284,37066,37066,135,371,intermediate,0,1,705000.0,42664,2099,9,44,114,2106,491031.5714285714
285,37067,37067,135,371,intermediate,0,1,958860.0,42664,2099,9,44,114,2106,549510.125
319,42432,42432,153,469,intermediate,0,1,0.0,22012,1280,17,55,70,3995,0.0
328,43426,43426,154,190,old,0,1,2575680.0,118273,602,17,39,252,2874,850950.125
346,45636,45636,159,207,old,0,1,18900.0,35650,23270,9,3,27,3009,0.0
418,52633,52633,187,231,latest,0,1,359760.0,48421,13539,9,3,48,2748,0.0
445,55641,55641,196,231,latest,0,1,126120.0,6852,6087,9,9,90,3528,0.0
446,56088,56088,197,150,latest,0,1,0.0,79447,1395,4,38,62,7554,0.0
462,56903,56903,199,422,old,0,1,22860.0,110871,1702,4,74,292,3399,13725.25
577,63738,63738,247,129,old,0,1,0.0,80559,3136,12,57,85,1713,0.0
582,63788,63788,249,249,intermediate,0,1,571380.0,80303,1395,14,61,159,1694,285690.5
622,47734,47734,265,449,old,0,1,40260.0,92183,6246,11,35,20,6295,0.0
636,62684,62684,278,29,intermediate,1,1,0.0,89373,2496,17,8,113,10025,0.0
638,5579,5579,278,29,intermediate,1,1,11940.0,89232,58880,1,42,157,6483,4460.333333333333
643,66533,66533,279,469,latest,0,1,0.0,10775,1465,17,39,252,1155,0.0
658,66953,66953,284,296,latest,0,1,81840.0,113560,5876,17,8,279,209,0.0
673,69586,69586,297,82,latest,0,1,24240.0,84694,2496,1,12,301,5735,0.0
679,43839,43839,300,190,latest,0,1,453840.0,130934,839,11,51,242,10168,226920.5
697,19873,19873,310,139,latest,1,1,0.0,20179,93568,8,40,313,1943,0.0
707,70756,70756,315,465,latest,0,1,0.0,114702,23552,9,3,159,4282,0.0
712,32568,32568,319,127,intermediate,0,1,0.0,84704,3833,10,63,220,5251,0.0
713,71132,71132,319,127,intermediate,0,1,2520.0,14832,8160,11,35,20,5622,1260.5
738,73543,73543,332,242,latest,1,1,0.0,76830,13376,1,36,203,2475,0.0
743,73545,73545,332,242,latest,0,1,90180.0,76830,13376,1,36,203,2475,35820.166666666664
774,77328,77328,348,190,old,0,1,738000.0,56201,1920,13,67,168,5938,271725.25
806,78852,78852,366,133,old,1,1,0.0,36553,2688,1,42,30,10333,0.0
809,79044,79044,367,469,old,0,1,0.0,126937,1913,13,52,275,6439,0.0
832,32573,32573,378,163,latest,0,1,12000.0,84704,3833,10,63,220,5251,0.0
845,81666,81666,385,508,intermediate,0,1,0.0,10475,30656,10,43,223,6077,0.0
846,81453,81453,385,508,intermediate,0,1,420.0,44570,737,15,0,183,8144,210.5
847,4508,4508,385,508,intermediate,0,1,18180.0,119516,1856,17,8,113,10025,6200.333333333332
852,82268,82268,391,296,intermediate,0,1,0.0,101591,2112,11,51,181,8137,0.0
853,82202,82202,391,207,intermediate,1,1,24900.0,33506,3176,9,9,244,10412,12450.5
